"","NQUEST","NORD","ANNO","IREG","IPROV","ACOM5","PAR","SESSO","ETA","ETA5","STUDIO","SETTP3","QUALP7","QUALP3","NONOC","AREA5","AREA3","SETTP7","CFDIC","CFEUR","QUALP7N","ACOM4C","SETTP9","STACIV","NORDP","NINTPRE","NASCREG","NASCAREA","ANASC","QUALP10","SETTP11","CFRED","NEQU","PERC","PERL","NPERC","NPERL","NCOMP","ENASC2","etapen","asnonoc","QUALP10N","ASNONOC2","ANASCI","NORDC","ID","localIndex","source","Y1","Y2","Y3"
"111646",111052,1,2020,20,NA,3,1,1,85,5,2,NA,NA,3,4,5,3,NA,1,1,7,3,NA,1,2,11,20,3,1935,NA,NA,0,2,1,0,2,0,3,NA,NA,NA,10,1,1935,1,"111052_1",316,"B",-10.5513524801891,-10.5298838799952,-10.5287539536692
"111647",111052,2,2020,20,NA,3,2,2,79,5,2,NA,NA,3,4,5,3,NA,0,0,7,3,NA,1,1,11,20,3,1941,NA,NA,1,2,1,0,2,0,3,NA,NA,NA,10,1,1941,2,"111052_2",317,"B",-19.2005620409179,-6.53953309539306,-5.87316315089176
"111648",111052,3,2020,20,NA,3,3,1,44,3,4,NA,NA,3,5,5,3,NA,0,0,7,3,NA,2,NA,11,20,3,1976,NA,NA,0,2,0,0,2,0,3,NA,NA,NA,10,1,1976,6,"111052_6",318,"B",2.35948545616561,-2.64351325757456,-2.66491648988689
"113433",145007,2,2020,20,NA,4,2,1,66,5,5,2,NA,2,0,5,3,6,0,1,5,3,7,1,1,11,20,3,1954,NA,7,1,2,1,1,1,1,3,NA,NA,NA,5,NA,1954,1,"145007_1",320,"B",-16.0297461351614,-4.04092895743048,-3.40993857965517
"113432",145007,1,2020,20,NA,4,1,2,64,4,5,NA,NA,3,2,5,3,NA,1,0,7,3,NA,1,2,11,20,3,1956,NA,NA,0,2,0,0,1,1,3,NA,NA,NA,10,NA,1956,2,"145007_2",319,"B",1.29106472813002,-5.04083901914786,-5.37409711110985
"113434",145007,3,2020,20,NA,4,3,1,29,1,5,NA,NA,3,6,5,3,NA,0,0,7,3,NA,2,4,11,20,3,1991,NA,NA,0,2,0,0,1,1,3,NA,NA,NA,10,NA,1991,6,"145007_6",321,"B",-21.5315910927952,-9.9324909918425,-9.32201203916078
"178",173,1,2020,18,NA,4,1,1,72,5,4,NA,NA,3,4,4,3,NA,1,1,7,3,NA,3,1,15,18,3,1948,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,2,1948,1,"173_1",1,"B",-22.2776654354365,-10.0188655932814,-9.37366560158907
"115082",178001,1,2020,12,NA,4,1,1,73,5,3,NA,NA,3,4,3,2,NA,1,1,7,3,NA,3,1,11,12,2,1947,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,1,1947,1,"178001_1",322,"B",-0.0180849757468824,-6.34301825667949,-6.67590948199173
"7885",20297,1,2020,5,NA,5,1,1,60,4,3,NA,NA,3,4,2,1,NA,1,1,7,3,NA,1,1,14,5,1,1960,NA,NA,1,1.5,1,0,2,1,2,NA,NA,NA,10,1,1960,1,"20297_1",13,"B",-0.584973319589195,-6.91806731120434,-7.25138804760514
"7886",20297,2,2020,5,NA,5,2,2,41,3,3,2,NA,1,0,2,1,3,0,0,1,3,4,1,2,14,NA,NA,1979,NA,4,0,1.5,1,1,2,1,2,2,NA,NA,1,NA,1979,4,"20297_4",14,"B",-1.9968577427645,-8.30883020986711,-8.64103928708304
"9169",20711,2,2020,4,NA,2,2,1,76,5,2,NA,NA,3,4,2,1,NA,0,1,7,1,NA,1,2,14,4,1,1944,NA,NA,1,1.5,1,0,1,0,2,NA,NA,NA,10,1,1944,1,"20711_1",16,"B",-15.9052657836596,-3.23905573958038,-2.57241310568147
"9168",20711,1,2020,4,NA,2,1,2,75,5,3,NA,NA,3,2,2,1,NA,1,0,7,1,NA,1,1,14,4,1,1945,NA,NA,0,1.5,0,0,1,0,2,NA,NA,NA,10,NA,1945,2,"20711_2",15,"B",5.50717665713602,-0.826051317139237,-1.15937910525899
"116805",213440,1,2020,7,NA,5,1,1,73,5,4,NA,NA,3,4,1,1,NA,1,1,7,4,NA,1,1,11,7,1,1947,NA,NA,1,1.5,1,0,1,0,2,NA,NA,NA,10,8,1947,1,"213440_1",323,"B",6.07770616556707,-0.255627165325067,-0.588960498529916
"116806",213440,2,2020,7,NA,5,2,2,73,5,3,NA,NA,3,2,1,1,NA,0,0,7,4,NA,1,2,11,18,3,1947,NA,NA,0,1.5,0,0,1,0,2,NA,NA,NA,10,NA,1947,2,"213440_2",324,"B",-11.6871629905752,-6.42216708021677,-6.14506203230317
"13535",22099,1,2020,15,NA,3,1,1,62,4,3,2,NA,2,0,4,3,6,1,1,6,2,8,1,1,14,15,3,1958,NA,8,1,1.5,1,1,1,1,2,NA,68,NA,6,NA,1958,1,"22099_1",17,"B",-1.05849303775183,-7.39170710326775,-7.72503415934753
"13536",22099,2,2020,15,NA,3,2,2,58,4,2,NA,NA,3,2,4,3,NA,0,0,7,2,NA,1,2,14,15,3,1962,NA,NA,0,1.5,0,0,1,1,2,NA,NA,NA,10,NA,1962,2,"22099_2",18,"B",-18.3750708552849,-5.70840697535201,-5.04174045535555
"13844",22169,1,2020,15,NA,5,1,2,76,5,2,NA,NA,3,4,4,3,NA,1,1,7,4,NA,4,1,14,15,3,1944,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,1,1944,2,"22169_2",19,"B",1.12498615490732,-5.17606467349975,-5.50769892762644
"13904",22173,2,2020,15,NA,5,4,1,82,5,2,NA,NA,3,4,4,3,NA,0,0,7,4,NA,4,1,14,15,3,1938,NA,NA,0,1.8,1,0,2,1,3,NA,NA,NA,10,NA,1938,1,"22173_1",21,"B",5.84895847622967,-0.484014889200985,-0.817329276855229
"13903",22173,1,2020,15,NA,5,1,2,45,3,4,2,NA,1,0,4,3,6,1,1,2,4,7,2,3,14,15,3,1975,NA,7,1,1.8,1,1,2,1,3,NA,65,NA,2,NA,1975,6,"22173_6",20,"B",2.31086385601192,-4.02246210178634,-4.35579504693362
"13905",22173,3,2020,15,NA,5,3,2,9,1,1,NA,NA,3,6,4,3,NA,0,0,7,4,NA,2,4,14,15,3,2011,NA,NA,0,1.8,0,0,2,1,3,NA,NA,NA,10,NA,2011,7,"22173_7",22,"B",-21.3802795607068,-8.7996359704219,-8.13749683409112
"14475",22276,1,2020,8,NA,1,1,1,71,5,4,NA,NA,3,4,2,1,NA,1,1,7,1,NA,2,1,14,8,1,1949,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,2,1949,3,"22276_3",23,"B",-15.1218300208777,-2.45526809676929,-1.78860694286885
"14627",22286,1,2020,8,NA,1,1,1,70,5,2,NA,NA,3,4,2,1,NA,1,1,7,1,NA,1,1,14,8,1,1950,NA,NA,1,1.5,1,0,2,0,2,NA,NA,NA,10,1,1950,1,"22286_1",24,"B",8.98128899383628,2.64795566050295,2.31462232716961
"14628",22286,2,2020,8,NA,1,2,2,64,4,2,NA,NA,3,4,2,1,NA,0,0,7,1,NA,1,2,14,8,1,1956,NA,NA,0,1.5,1,0,2,0,2,NA,NA,NA,10,1,1956,2,"22286_2",25,"B",7.64679234394294,1.31346750453254,0.980134618247787
"117649",224048,1,2020,7,NA,3,1,2,86,5,2,NA,NA,3,4,1,1,NA,1,1,7,3,NA,4,1,11,20,3,1934,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,1,1934,1,"224048_1",325,"B",-1.65031023712582,-5.38622720610404,-5.58285441499763
"16077",22624,2,2020,15,NA,4,2,1,63,4,2,2,NA,1,0,4,3,4,0,1,1,3,5,1,1,14,15,3,1957,NA,5,1,2.5,1,1,2,2,4,NA,NA,NA,1,NA,1957,1,"22624_1",27,"B",-4.851387241051,-5.96267839116133,-6.02116739906188
"16076",22624,1,2020,15,NA,4,1,2,59,4,3,NA,NA,3,2,4,3,NA,1,0,7,3,NA,1,2,14,15,3,1961,NA,NA,0,2.5,0,0,2,2,4,NA,NA,NA,10,NA,1961,2,"22624_2",26,"B",-22.3861467699917,-10.4347974795572,-9.80577909585011
"16078",22624,3,2020,15,NA,4,3,2,25,1,4,NA,NA,3,6,4,3,NA,0,0,7,3,NA,2,3,14,15,3,1995,NA,NA,0,2.5,0,0,2,2,4,NA,NA,NA,10,NA,1995,6,"22624_6",28,"B",3.19157707757823,-3.14066094359336,-3.47393662891818
"16079",22624,4,2020,15,NA,4,3,2,23,1,4,2,NA,1,0,4,3,6,0,0,2,3,8,2,4,14,15,3,1997,NA,8,0,2.5,1,1,2,2,4,NA,NA,NA,2,NA,1997,7,"22624_7",29,"B",1.68753413294365,-4.64408379773123,-4.97732684671411
"16196",22657,1,2020,16,NA,5,1,2,69,5,5,NA,NA,3,4,4,3,NA,1,1,7,3,NA,1,1,14,16,3,1951,NA,NA,0,1.5,1,0,2,0,2,NA,NA,NA,10,3,1951,1,"22657_1",30,"B",-0.434834930929488,-6.68873175942508,-7.01788422408275
"16197",22657,2,2020,16,NA,5,2,1,74,5,4,NA,NA,3,4,4,3,NA,0,0,7,3,NA,1,2,14,16,3,1946,NA,NA,1,1.5,1,0,2,0,2,NA,NA,NA,10,2,1946,3,"22657_3",31,"B",-11.3442376172086,-4.81530772350846,-4.47167983436635
"117927",230029,1,2020,3,NA,1,1,1,77,5,3,NA,NA,3,4,1,1,NA,1,1,7,1,NA,1,1,11,3,1,1943,NA,NA,1,1.5,1,0,2,0,2,NA,NA,NA,10,1,1943,1,"230029_1",326,"B",-1.00859735234379,-7.32257372140349,-7.65488826714347
"117928",230029,2,2020,3,NA,1,2,2,74,5,2,NA,NA,3,4,1,1,NA,0,0,7,1,NA,1,2,11,3,1,1946,NA,NA,0,1.5,1,0,2,0,2,NA,NA,NA,10,1,1946,2,"230029_2",327,"B",0.894579869807809,-5.43674638982839,-5.76997408770398
"117983",230037,1,2020,3,NA,1,1,1,72,5,3,NA,NA,3,4,1,1,NA,1,1,7,1,NA,1,1,11,15,3,1948,NA,NA,1,1.5,1,0,2,0,2,NA,NA,NA,10,3,1948,1,"230037_1",328,"B",1.51888200715224,-0.889727176434633,-1.01649608083394
"117984",230037,2,2020,3,NA,1,2,2,72,5,5,NA,NA,3,4,1,1,NA,0,0,7,1,NA,1,2,11,3,1,1948,NA,NA,0,1.5,1,0,2,0,2,NA,NA,NA,10,3,1948,2,"230037_2",329,"B",-7.99414296682658,-2.56878374993272,-2.28323852799094
"19386",23490,1,2020,5,NA,3,1,2,83,5,4,NA,NA,3,4,2,1,NA,1,1,7,2,NA,2,1,14,5,1,1937,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,3,1937,2,"23490_2",32,"B",8.40954356580996,2.0762102508284,1.74287691846095
"118359",237003,1,2020,19,NA,3,1,1,72,5,4,NA,NA,3,4,5,3,NA,1,1,7,2,NA,1,1,11,19,3,1948,NA,NA,0,1.5,1,0,2,0,2,NA,NA,NA,10,2,1948,1,"237003_1",330,"B",8.03514542560415,1.7018131387669,1.36847986051231
"118360",237003,2,2020,19,NA,3,2,2,76,5,5,NA,NA,3,4,5,3,NA,0,0,7,2,NA,1,2,11,19,3,1944,NA,NA,1,1.5,1,0,2,0,2,NA,NA,NA,10,3,1944,2,"237003_2",331,"B",-9.54996884731369,-3.33019070794902,-3.00283396377194
"20373",23797,1,2020,15,NA,5,1,1,65,4,3,2,NA,1,0,4,3,6,1,1,1,4,8,1,1,14,15,3,1955,NA,8,1,1.5,1,1,1,1,2,NA,67,NA,1,NA,1955,1,"23797_1",33,"B",-18.017501406242,-8.74185131656422,-8.25365920658118
"20374",23797,2,2020,15,NA,5,2,2,62,4,2,NA,NA,3,2,4,3,NA,0,0,7,4,NA,1,2,14,15,3,1958,NA,NA,0,1.5,0,0,1,1,2,NA,NA,NA,10,NA,1958,2,"23797_2",34,"B",-15.3809264381354,-2.83639009379127,-2.17615133882579
"20524",23821,2,2020,16,NA,4,4,2,84,5,2,NA,NA,3,2,4,3,NA,0,1,7,3,NA,4,1,14,16,3,1936,NA,NA,1,1.5,1,0,1,0,2,NA,NA,NA,10,NA,1936,2,"23821_2",36,"B",-21.4940809526636,-8.93332036423173,-8.27222770168268
"20523",23821,1,2020,16,NA,4,1,2,52,4,3,NA,NA,3,2,4,3,NA,1,0,7,3,NA,2,2,14,16,3,1968,NA,NA,0,1.5,0,0,1,0,2,NA,NA,NA,10,NA,1968,4,"23821_4",35,"B",-1.34959736046411,-7.68242511384989,-8.0157318377123
"20592",23823,1,2020,16,NA,4,1,2,84,5,2,NA,NA,3,4,4,3,NA,1,1,7,3,NA,4,1,14,16,3,1936,NA,NA,0,1.5,1,0,2,1,2,NA,NA,NA,10,NA,1936,2,"23823_2",37,"B",0.730866768023521,-5.166368768832,-5.47674958656124
"20593",23823,2,2020,16,NA,4,3,2,48,3,4,2,NA,1,0,4,3,5,0,0,2,3,6,2,2,14,16,3,1972,NA,6,1,1.5,1,1,2,1,2,NA,NA,NA,2,NA,1972,3,"23823_3",38,"B",-15.2790567741024,-2.61329017060984,-1.94667087568918
"22118",24147,1,2020,4,NA,2,1,1,72,5,5,NA,NA,3,4,2,1,NA,1,1,7,1,NA,1,1,14,4,1,1948,NA,NA,1,1.5,1,0,2,0,2,NA,NA,NA,10,4,1948,1,"24147_1",39,"B",-17.4642030920256,-4.79765883750281,-4.13099861358056
"22119",24147,2,2020,4,NA,2,2,2,62,4,4,NA,NA,3,4,2,1,NA,0,0,7,1,NA,1,2,14,4,1,1958,NA,NA,0,1.5,1,0,2,0,2,NA,NA,NA,10,3,1958,2,"24147_2",40,"B",0.950618323498815,-5.37730783826231,-5.71035658361815
"118756",244013,1,2020,20,NA,1,1,1,74,5,2,NA,NA,3,4,5,3,NA,1,1,7,1,NA,1,2,11,20,3,1946,NA,NA,0,1.5,1,0,2,0,2,NA,NA,NA,10,1,1946,1,"244013_1",332,"B",0.0284380950484167,-0.838556062007862,-0.884187333431877
"118757",244013,2,2020,20,NA,1,2,2,74,5,2,NA,NA,3,4,5,3,NA,0,0,7,1,NA,1,1,11,20,3,1946,NA,NA,1,1.5,1,0,2,0,2,NA,NA,NA,10,1,1946,2,"244013_2",333,"B",-4.38385703929184,-10.7168408021498,-11.0501557370371
"118845",244058,2,2020,20,NA,1,2,1,56,4,2,2,NA,2,0,5,3,2,0,1,6,1,2,1,2,11,20,3,1964,NA,2,1,1.5,1,1,1,1,2,NA,NA,NA,7,NA,1964,1,"244058_1",335,"B",-0.980982452912217,-7.31431578608022,-7.64764911940485
"118844",244058,1,2020,20,NA,1,1,2,56,4,4,NA,NA,3,2,5,3,NA,1,0,7,1,NA,1,1,11,20,3,1964,NA,NA,0,1.5,0,0,1,1,2,NA,NA,NA,10,NA,1964,2,"244058_2",334,"B",-0.633505851522033,-6.70073846049341,-7.02006649254454
"25169",24809,1,2020,16,NA,5,1,2,81,5,2,NA,NA,3,2,4,3,NA,1,1,7,3,NA,4,1,14,16,3,1939,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,NA,1939,2,"24809_2",41,"B",-17.8581726226614,-5.19150614292698,-4.52483948609885
"25427",24853,1,2020,11,NA,3,1,1,63,4,3,NA,NA,3,4,3,2,NA,1,1,7,3,NA,1,1,14,16,3,1957,NA,NA,1,1.5,1,0,2,1,2,NA,NA,NA,10,2,1957,1,"24853_1",42,"B",-10.6100141240297,-0.221824882705855,0.324921919469085
"25428",24853,2,2020,11,NA,3,2,2,58,4,4,2,NA,1,0,3,2,6,0,0,2,3,8,1,2,14,16,3,1962,NA,9,0,1.5,1,1,2,1,2,NA,67,NA,2,NA,1962,2,"24853_2",43,"B",-6.87111606431609,-13.2044490546748,-13.5377823699568
"119214",250005,1,2020,19,NA,4,1,1,76,5,4,NA,NA,3,4,5,3,NA,1,1,7,3,NA,1,2,11,15,3,1944,NA,NA,1,1.5,1,0,2,0,2,NA,NA,NA,10,NA,1944,1,"250005_1",336,"B",3.58357946838793,-2.7497538649454,-3.08308719827874
"119215",250005,2,2020,19,NA,4,2,2,71,5,4,NA,NA,3,4,5,3,NA,0,0,7,3,NA,1,1,11,19,3,1949,NA,NA,0,1.5,1,0,2,0,2,NA,NA,NA,10,NA,1949,2,"250005_2",337,"B",-20.2607732423317,-8.68965933401341,-8.08065333883876
"119259",250010,1,2020,19,NA,4,1,2,74,5,2,NA,NA,3,4,5,3,NA,1,1,7,3,NA,4,1,11,19,3,1946,NA,NA,1,2,1,0,2,0,3,NA,NA,NA,10,NA,1946,2,"250010_2",338,"B",-19.391146843509,-6.92553664226212,-6.26945189482807
"119260",250010,2,2020,19,NA,4,3,1,40,2,3,NA,NA,3,1,5,3,NA,0,0,7,3,NA,2,2,11,NA,NA,1980,NA,NA,0,2,1,0,2,0,3,2,NA,NA,10,NA,1980,3,"250010_3",339,"B",2.24688131589711,-4.04226652503297,-4.37327430613455
"119261",250010,3,2020,19,NA,4,4,2,45,3,3,NA,NA,3,1,5,3,NA,0,0,7,3,NA,2,NA,11,15,3,1975,NA,NA,0,2,0,0,2,0,3,NA,NA,NA,10,NA,1975,4,"250010_4",340,"B",1.0227396770411,-3.53159261211829,-3.52844685612891
"119304",250039,1,2020,19,NA,4,1,2,69,5,2,NA,NA,3,4,5,3,NA,1,1,7,3,NA,4,1,11,19,3,1951,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,NA,1951,1,"250039_1",341,"B",-2.44873909215589,-8.63069707244042,-8.95606328192908
"33913",27114,1,2020,19,NA,3,1,2,82,5,2,NA,NA,3,4,5,3,NA,1,1,7,2,NA,4,1,14,19,3,1938,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,NA,1938,2,"27114_2",44,"B",-7.49081274586542,-10.9902685580926,-11.1744504429466
"33945",27116,1,2020,19,NA,3,1,2,80,5,3,NA,NA,3,4,5,3,NA,1,1,7,2,NA,4,1,14,19,3,1940,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,7,1940,2,"27116_2",45,"B",6.22829865793953,0.223081473964466,-0.0929825883500106
"34687",27238,1,2020,12,NA,1,1,1,68,5,3,NA,NA,3,4,3,2,NA,1,1,7,1,NA,1,1,14,12,2,1952,NA,NA,1,2,1,0,3,2,3,NA,NA,NA,10,1,1952,1,"27238_1",46,"B",-1.54955662417683,-1.2974898306134,-1.28422315726795
"34688",27238,2,2020,12,NA,1,2,2,59,4,3,2,NA,1,0,3,2,6,0,0,2,1,7,1,2,14,12,2,1961,NA,7,0,2,1,1,3,2,3,NA,NA,NA,2,NA,1961,2,"27238_2",47,"B",-18.4970924309882,-5.94688718506927,-5.28635006686302
"34689",27238,3,2020,12,NA,1,3,1,42,3,3,2,NA,1,0,3,2,2,0,0,1,1,2,2,NA,14,12,2,1978,NA,2,0,2,1,1,3,2,3,NA,NA,NA,1,NA,1978,5,"27238_5",48,"B",-18.5108588242526,-9.11844569989105,-9.0573927529059
"36276",27730,1,2020,20,NA,3,1,1,81,5,2,NA,NA,3,4,5,3,NA,1,1,7,2,NA,1,2,14,20,3,1939,NA,NA,0,2.5,1,0,2,1,4,NA,NA,NA,10,1,1939,1,"27730_1",49,"B",-1.99524902580325,-8.31376831337979,-8.64632196009434
"36277",27730,2,2020,20,NA,3,2,2,71,5,3,NA,NA,3,2,5,3,NA,0,0,7,2,NA,1,1,14,20,3,1949,NA,NA,0,2.5,0,0,2,1,4,NA,NA,NA,10,NA,1949,2,"27730_2",50,"B",-16.0493576122532,-8.44217434697286,-8.04179628037915
"36279",27730,4,2020,20,NA,3,3,2,48,3,3,NA,NA,3,5,5,3,NA,0,0,7,2,NA,2,3,14,20,3,1972,NA,NA,0,2.5,0,0,2,1,4,NA,NA,NA,10,1,1972,3,"27730_3",52,"B",-0.417479904499769,-6.7505469334647,-7.08386625077865
"36278",27730,3,2020,20,NA,3,3,1,35,2,4,2,NA,1,0,5,3,6,0,0,2,2,7,2,4,14,20,3,1985,NA,7,1,2.5,1,1,2,1,4,NA,NA,NA,2,NA,1985,5,"27730_5",51,"B",-7.5756996241437,-6.96942806319633,-6.93751903367278
"36349",27734,1,2020,20,NA,3,1,1,73,5,2,NA,NA,3,4,5,3,NA,1,1,7,2,NA,1,2,14,20,3,1947,NA,NA,1,1.5,1,0,1,0,2,NA,NA,NA,10,1,1947,1,"27734_1",53,"B",1.00561854175672,-4.76321441099055,-5.06683719797724
"36350",27734,2,2020,20,NA,3,2,2,69,5,3,NA,NA,3,2,5,3,NA,0,0,7,2,NA,1,1,14,20,3,1951,NA,NA,0,1.5,0,0,1,0,2,NA,NA,NA,10,NA,1951,2,"27734_2",54,"B",-2.27128044358136,-8.50378312897355,-8.83180958609945
"36419",27739,1,2020,20,NA,3,1,2,82,5,2,NA,NA,3,4,5,3,NA,1,1,7,2,NA,4,1,14,20,3,1938,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,NA,1938,2,"27739_2",55,"B",-3.11254059374916,-9.44587392708247,-9.77920726041581
"36508",27742,1,2020,20,NA,3,1,2,88,5,2,NA,NA,3,4,5,3,NA,1,1,7,2,NA,4,1,14,20,3,1932,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,NA,1932,2,"27742_2",56,"B",2.82002019478267,-2.95520899711241,-3.25916842826478
"37135",27912,1,2020,13,NA,3,1,1,72,5,4,NA,NA,3,4,4,3,NA,1,1,7,2,NA,1,1,14,13,3,1948,NA,NA,1,1.5,1,0,2,0,2,NA,NA,NA,10,2,1948,1,"27912_1",57,"B",-8.88786186005714,-3.25580052976844,-2.95937624922693
"37136",27912,2,2020,13,NA,3,2,2,66,5,3,NA,NA,3,4,4,3,NA,0,0,7,2,NA,1,2,14,13,3,1954,NA,NA,0,1.5,1,0,2,0,2,NA,NA,NA,10,1,1954,2,"27912_2",58,"B",2.27923570464937,-4.05399123387303,-4.38731896747947
"37256",27923,1,2020,13,NA,3,1,1,69,5,4,NA,NA,3,4,4,3,NA,1,1,7,2,NA,1,1,14,13,3,1951,NA,NA,1,2.5,1,0,3,0,4,NA,NA,NA,10,2,1951,1,"27923_1",59,"B",9.08187587319712,2.74902166216442,2.41571354579427
"37257",27923,2,2020,13,NA,3,2,2,63,4,3,NA,NA,3,2,4,3,NA,0,0,7,2,NA,1,2,14,12,2,1957,NA,NA,0,2.5,0,0,3,0,4,NA,NA,NA,10,NA,1957,2,"27923_2",60,"B",-16.9265979090518,-13.6914158644889,-13.5211431253014
"37258",27923,3,2020,13,NA,3,3,1,28,1,4,NA,NA,3,4,4,3,NA,0,0,7,2,NA,2,3,14,13,3,1992,NA,NA,0,2.5,1,0,3,0,4,NA,NA,NA,10,NA,1992,6,"27923_6",61,"B",4.46318122229477,-0.730829810889086,-1.0041988126356
"37259",27923,4,2020,13,NA,3,3,1,20,1,4,NA,NA,3,4,4,3,NA,0,0,7,2,NA,2,4,14,13,3,2000,NA,NA,0,2.5,1,0,3,0,4,NA,NA,NA,10,NA,2000,7,"27923_7",62,"B",2.32683102175974,-2.97948606122454,-3.2587659076974
"121061",282083,1,2020,20,NA,4,1,2,80,5,3,NA,NA,3,4,5,3,NA,1,1,7,3,NA,4,1,11,20,3,1940,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,2,1940,1,"282083_1",342,"B",-17.3054019134783,-5.45088265973674,-4.82696059375034
"121108",282089,2,2020,20,NA,4,2,1,70,5,2,NA,NA,3,4,5,3,NA,0,1,7,3,NA,1,2,11,20,3,1950,NA,NA,1,1.5,1,0,1,0,2,NA,NA,NA,10,1,1950,1,"282089_1",344,"B",-0.204087318533622,-1.15703270317928,-1.20718772342379
"121107",282089,1,2020,20,NA,4,1,2,66,5,2,NA,NA,3,2,5,3,NA,1,0,7,3,NA,1,1,11,20,3,1954,NA,NA,0,1.5,0,0,1,0,2,NA,NA,NA,10,NA,1954,2,"282089_2",343,"B",1.77200926209252,-4.56026009550904,-4.89353743011965
"121253",284086,1,2020,20,NA,3,1,1,86,5,2,NA,NA,3,4,5,3,NA,1,1,7,2,NA,1,3,11,20,3,1934,NA,NA,0,2,1,0,2,0,3,NA,NA,NA,10,1,1934,1,"284086_1",345,"B",-15.0966431348347,-2.52803553369862,-1.86652987048093
"121254",284086,2,2020,20,NA,3,2,2,77,5,4,NA,NA,3,4,5,3,NA,0,0,7,2,NA,1,1,11,20,3,1943,NA,NA,1,2,1,0,2,0,3,NA,NA,NA,10,2,1943,2,"284086_2",346,"B",-12.3269792134585,-2.88226211463584,-2.3851717410136
"121255",284086,3,2020,20,NA,3,3,1,44,3,3,NA,NA,3,5,5,3,NA,0,0,7,2,NA,2,2,11,20,3,1976,NA,NA,0,2,0,0,2,0,3,NA,NA,NA,10,1,1976,3,"284086_3",347,"B",-0.373672302236498,-6.70700563556983,-7.04033896890316
"2521",2886,1,2020,13,NA,3,1,1,71,5,4,NA,NA,3,4,4,3,NA,1,1,7,3,NA,1,1,15,13,3,1949,NA,NA,0,1.5,1,0,2,0,2,NA,NA,NA,10,2,1949,1,"2886_1",4,"B",-16.0921043873763,-6.46032931830142,-5.95339378835011
"2522",2886,2,2020,13,NA,3,2,2,68,5,5,NA,NA,3,4,4,3,NA,0,0,7,3,NA,1,2,15,13,3,1952,NA,NA,1,1.5,1,0,2,0,2,NA,NA,NA,10,2,1952,2,"2886_2",5,"B",11.3034321190539,4.97423487342104,4.64111922891405
"40394",28992,1,2020,20,NA,4,1,2,79,5,3,NA,NA,3,2,5,3,NA,1,1,7,3,NA,4,2,14,20,3,1941,NA,NA,1,1,1,0,1,0,1,NA,NA,NA,10,NA,1941,2,"28992_2",63,"B",-15.1611220448632,-3.73180754867194,-3.13026468045135
"40701",29140,1,2020,9,NA,2,1,1,71,5,3,NA,NA,3,4,3,2,NA,1,1,7,1,NA,1,1,14,9,2,1949,NA,NA,1,1.5,1,0,2,0,2,NA,NA,NA,10,1,1949,1,"29140_1",64,"B",-16.8368103659524,-4.17014387550474,-3.50347721811276
"40702",29140,2,2020,9,NA,2,2,2,68,5,3,NA,NA,3,4,3,2,NA,0,0,7,1,NA,1,2,14,9,2,1952,NA,NA,0,1.5,1,0,2,0,2,NA,NA,NA,10,1,1952,2,"29140_2",65,"B",3.5903926554267,-2.58731734735628,-2.9124599790817
"42757",29678,1,2020,19,NA,4,1,1,87,5,3,NA,NA,3,4,5,3,NA,1,1,7,3,NA,1,1,14,19,3,1933,NA,NA,1,1.5,1,0,1,0,2,NA,NA,NA,10,2,1933,1,"29678_1",66,"B",-13.6971810406312,-2.72847098076748,-2.15117045130097
"42758",29678,2,2020,19,NA,4,2,2,83,5,1,NA,NA,3,2,5,3,NA,0,0,7,3,NA,1,2,14,19,3,1937,NA,NA,0,1.5,0,0,1,0,2,NA,NA,NA,10,NA,1937,2,"29678_2",67,"B",-3.70652744302284,-8.52355648799343,-8.77708433246557
"42820",29680,1,2020,19,NA,4,1,1,56,4,3,2,NA,1,0,5,3,3,1,1,1,3,4,1,1,14,19,3,1964,NA,4,1,2.5,1,1,2,2,4,NA,60,NA,1,NA,1964,1,"29680_1",68,"B",1.67844662794118,-4.64628705883284,-4.97916777918937
"42821",29680,2,2020,19,NA,4,2,2,50,3,2,NA,NA,3,2,5,3,NA,0,0,7,3,NA,1,2,14,19,3,1970,NA,NA,0,2.5,0,0,2,2,4,NA,NA,NA,10,NA,1970,2,"29680_2",69,"B",-5.39315594098099,-11.726489271731,-12.0598226049284
"42822",29680,3,2020,19,NA,4,3,1,30,1,5,2,NA,1,0,5,3,6,0,0,2,3,7,2,3,14,19,3,1990,NA,7,0,2.5,1,1,2,2,4,NA,NA,NA,2,NA,1990,3,"29680_3",70,"B",1.1091301394808,-1.1669218863565,-1.28671409824268
