"","NQUEST","NORD","ANNO","IREG","IPROV","ACOM5","PAR","SESSO","ETA","ETA5","STUDIO","SETTP3","QUALP7","QUALP3","NONOC","AREA5","AREA3","SETTP7","CFDIC","CFEUR","QUALP7N","ACOM4C","SETTP9","STACIV","NORDP","NINTPRE","NASCREG","NASCAREA","ANASC","QUALP10","SETTP11","CFRED","NEQU","PERC","PERL","NPERC","NPERL","NCOMP","ENASC2","etapen","asnonoc","QUALP10N","ASNONOC2","ANASCI","NORDC","ID","localIndex","source","X1","X2","X3"
"111645",111052,2,2016,20,NA,3,2,1,81,5,2,3,NA,3,4,5,3,7,0,0,7,3,9,1,2,10,20,3,1935,10,11,1,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1935,1,"111052_1",581,"A",-1.75811427842639,-3.77063967524278,-0.00112992632599418
"111644",111052,1,2016,20,NA,3,1,2,75,5,2,3,NA,3,4,5,3,7,1,1,7,3,9,1,1,10,20,3,1941,10,11,0,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1941,2,"111052_2",580,"A",-0.903501791702737,0.0303386408109812,-0.666369944501306
"6679",11972,2,2016,17,NA,4,2,1,78,5,2,3,NA,3,4,4,3,7,0,0,7,3,9,1,2,14,16,3,1938,10,11,0,1.5,1,0,2,0,2,NA,NA,9,NA,NA,1938,1,"11972_1",22,"A",-0.964119499031992,1.29925568127923,-0.663824562024918
"6678",11972,1,2016,17,NA,4,1,2,68,5,2,3,NA,3,4,4,3,7,1,1,7,3,9,1,1,14,16,3,1948,10,11,1,1.5,1,0,2,0,2,NA,NA,8,NA,NA,1948,2,"11972_2",21,"A",0.0362518446577915,3.67489413919724,0.333333333297533
"1321",1367,1,2016,18,NA,4,1,1,89,5,3,3,NA,3,4,4,3,7,1,1,7,3,9,1,1,14,18,3,1927,10,11,1,1.5,1,0,2,0,2,NA,NA,7,NA,NA,1927,1,"1367_1",5,"A",0.912840717869499,-4.02218586586451,0.324795966309333
"1322",1367,2,2016,18,NA,4,2,2,86,5,1,3,NA,3,4,4,3,7,0,0,7,3,9,1,2,14,18,3,1930,10,11,0,1.5,1,0,2,0,2,NA,NA,8,NA,NA,1930,2,"1367_2",6,"A",-0.106203130859254,2.35601205555547,-0.649733934168975
"113018",138399,1,2016,8,NA,5,1,1,73,5,3,3,NA,3,4,2,1,7,1,1,7,3,9,4,1,10,8,1,1943,10,11,1,1,1,0,1,0,1,NA,NA,1,NA,NA,1943,1,"138399_1",582,"A",0.312333790255108,-0.193774551565494,-0.383632902136111
"113428",145007,1,2016,20,NA,4,1,1,62,4,5,2,NA,1,0,5,3,6,1,1,2,3,8,1,1,10,20,3,1954,2,9,1,2.5,1,1,2,2,4,NA,70,NA,NA,NA,1954,1,"145007_1",583,"A",-0.669532884980618,2.25959430532545,-0.63099037777531
"113429",145007,2,2016,20,NA,4,2,2,60,4,5,3,NA,3,2,5,3,7,0,0,7,3,9,1,2,10,20,3,1956,10,11,0,2.5,0,0,2,2,4,NA,NA,NA,NA,NA,1956,2,"145007_2",584,"A",0.312030040911257,-0.686127152021109,0.333258091961994
"113430",145007,3,2016,20,NA,4,3,1,27,1,5,2,NA,1,0,5,3,6,0,0,2,3,8,2,4,10,20,3,1989,2,8,0,2.5,1,1,2,2,4,NA,NA,NA,NA,NA,1989,5,"145007_5",585,"A",0.0683571727454465,-1.21127045992294,-0.665382330407731
"113431",145007,4,2016,20,NA,4,3,1,25,1,4,3,NA,3,6,5,3,7,0,0,7,3,9,2,5,10,20,3,1991,10,11,0,2.5,0,0,2,2,4,NA,NA,NA,NA,NA,1991,6,"145007_6",586,"A",-1.66405127709461,-2.65796076206616,-0.610478952681723
"177",173,1,2016,18,NA,4,1,1,68,5,4,3,NA,3,4,4,3,7,1,1,7,3,9,3,1,14,18,3,1948,10,11,1,1,1,0,1,0,1,NA,NA,2,NA,NA,1948,1,"173_1",1,"A",1.23043592597765,-5.60410152756672,-0.645199991692372
"1601",1763,1,2016,17,NA,1,1,1,69,5,2,3,NA,3,4,4,3,7,1,1,7,1,9,1,1,14,17,3,1947,10,11,0,1.5,1,0,2,1,2,NA,NA,1,NA,NA,1947,1,"1763_1",7,"A",0.865507357075517,0.558163506714492,0.333332071013877
"1602",1763,2,2016,17,NA,1,2,2,62,4,2,1,NA,1,0,4,3,1,0,0,1,1,1,1,2,14,17,3,1954,1,1,1,1.5,1,1,2,1,2,NA,NA,NA,NA,NA,1954,2,"1763_2",8,"A",-2.19224871466214,0.415647613657546,0.300936642863642
"115081",178001,1,2016,12,NA,4,1,1,69,5,3,3,NA,3,4,3,2,7,1,1,7,3,9,3,1,10,12,2,1947,10,11,1,1,1,0,1,0,1,NA,NA,10,NA,NA,1947,1,"178001_1",587,"A",0.658198100952022,-2.33410758294376,0.332891225312243
"115722",193016,1,2016,10,NA,2,1,1,83,5,1,3,NA,3,4,3,2,7,1,1,7,1,9,2,1,10,10,2,1933,10,11,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,1933,1,"193016_1",588,"A",-0.190524011120873,-2.08502394791792,-0.0346548321423509
"1807",1946,1,2016,5,NA,4,1,1,63,4,4,3,NA,3,4,2,1,7,1,1,7,3,9,2,1,14,5,1,1953,10,11,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,1953,3,"1946_3",9,"A",0.709769915392038,2.35806504884936,-0.666660273489408
"7883",20297,1,2016,5,NA,5,1,1,56,4,3,3,NA,3,4,2,1,7,1,1,7,3,9,1,1,13,5,1,1960,10,11,0,1.5,1,0,2,1,2,NA,NA,NA,NA,NA,1960,1,"20297_1",23,"A",-0.420553348005236,-1.8308346995999,0.333320736400797
"7884",20297,2,2016,5,NA,5,2,2,37,2,3,2,NA,1,0,2,1,3,0,0,1,3,4,1,2,13,NA,NA,1979,1,4,1,1.5,1,1,2,1,2,2,NA,NA,NA,NA,1979,4,"20297_4",24,"A",-0.411267870355655,-3.22977141672738,0.332209077215927
"9167",20711,2,2016,4,NA,2,2,1,72,5,2,3,NA,3,4,2,1,7,0,1,7,1,9,1,2,13,4,1,1944,10,11,1,1.5,1,0,1,0,2,NA,NA,1,NA,NA,1944,1,"20711_1",26,"A",-0.275889542514098,2.70347643683263,-0.666642633898908
"9166",20711,1,2016,4,NA,2,1,2,71,5,3,3,NA,3,2,2,1,7,1,0,7,1,9,1,1,13,4,1,1945,10,11,0,1.5,0,0,1,0,2,NA,NA,NA,NA,NA,1945,2,"20711_2",25,"A",0.82208467398645,3.01853622075456,0.33332778811975
"9638",20837,1,2016,8,NA,4,1,1,85,5,3,3,NA,3,4,2,1,7,1,1,7,3,9,1,1,13,8,1,1931,10,11,1,1.5,1,0,2,0,2,NA,NA,2,NA,NA,1931,1,"20837_1",27,"A",0.0752099922252013,1.46638811510242,-0.662827125561625
"9639",20837,2,2016,8,NA,4,2,2,88,5,2,3,NA,3,4,2,1,7,0,0,7,3,9,1,2,13,8,1,1928,10,11,0,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1928,2,"20837_2",28,"A",1.16496283580818,-2.92251362690598,-0.148481016161478
"116803",213440,1,2016,7,NA,5,1,1,69,5,4,3,NA,3,4,1,1,7,1,1,7,4,9,1,1,10,7,1,1947,10,11,1,1.5,1,0,1,0,2,NA,NA,8,NA,NA,1947,1,"213440_1",589,"A",1.24319833771592,3.16784116375416,0.33333333320485
"116804",213440,2,2016,7,NA,5,2,2,69,5,3,3,NA,3,2,1,1,7,0,0,7,4,9,1,2,10,18,3,1947,10,11,0,1.5,0,0,1,0,2,NA,NA,NA,NA,NA,1947,2,"213440_2",590,"A",2.08440815354827,-3.22947018585144,-0.277105047913599
"13533",22099,1,2016,15,NA,3,1,1,58,4,3,2,NA,2,0,4,3,6,1,1,6,2,8,1,1,13,15,3,1958,7,8,1,1.5,1,1,1,1,2,NA,70,NA,NA,NA,1958,1,"22099_1",29,"A",1.49765069422074,-4.22268485356827,0.333327056079785
"13534",22099,2,2016,15,NA,3,2,2,54,4,2,3,NA,3,2,4,3,7,0,0,7,2,9,1,2,13,15,3,1962,10,11,0,1.5,0,0,1,1,2,NA,NA,NA,NA,NA,1962,2,"22099_2",30,"A",0.881149481235589,-0.922889936591134,-0.666666519996468
"13843",22169,2,2016,15,NA,5,2,1,79,5,2,3,NA,3,4,4,3,7,0,0,7,4,9,1,2,13,15,3,1937,10,11,1,1.5,1,0,2,0,2,NA,NA,NA,NA,NA,1937,1,"22169_1",32,"A",-0.541470985061859,-0.356423910782736,-0.416855889071904
"13842",22169,1,2016,15,NA,5,1,2,72,5,2,3,NA,3,4,4,3,7,1,1,7,4,9,1,1,13,15,3,1944,10,11,0,1.5,1,0,2,0,2,NA,NA,NA,NA,NA,1944,2,"22169_2",31,"A",0.60113688544246,-1.1088358130689,0.331634254126688
"13899",22173,1,2016,15,NA,5,1,1,78,5,2,3,NA,3,4,4,3,7,1,1,7,4,9,1,1,13,15,3,1938,10,11,1,2.3,1,0,2,1,4,NA,NA,NA,NA,NA,1938,1,"22173_1",33,"A",2.22218155265416,1.96048917049061,0.333314387654245
"13900",22173,2,2016,15,NA,5,2,2,81,5,2,3,NA,3,2,4,3,7,0,0,7,4,9,1,2,13,15,3,1935,10,11,0,2.3,0,0,2,1,4,NA,NA,NA,NA,NA,1935,2,"22173_2",34,"A",-1.09330910153767,-2.28416321832373,0.333333254035254
"13901",22173,3,2016,15,NA,5,3,2,41,3,4,2,NA,1,0,4,3,6,0,0,2,4,7,3,NA,13,15,3,1975,2,7,0,2.3,1,1,2,1,4,NA,65,NA,NA,NA,1975,6,"22173_6",35,"A",0.472810187004353,0.171394766062028,0.333332945147277
"13902",22173,4,2016,15,NA,5,4,2,5,1,1,3,NA,3,7,4,3,7,0,0,7,4,9,2,NA,13,15,3,2011,10,11,0,2.3,0,0,2,1,4,NA,NA,NA,NA,NA,2011,7,"22173_7",36,"A",-1.20173215701949,-1.93576467707162,-0.662139136330786
"14047",22208,1,2016,5,NA,3,1,2,81,5,2,3,NA,3,4,2,1,7,1,1,7,2,9,4,1,13,5,1,1935,10,11,1,1,1,0,1,0,1,NA,NA,1,NA,NA,1935,2,"22208_2",37,"A",2.00577755731613,-4.04546484017613,0.332224772189832
"14474",22276,2,2016,8,NA,1,4,2,93,5,2,3,NA,3,4,2,1,7,0,0,7,1,9,4,2,13,8,1,1923,10,11,0,1.5,1,0,2,0,2,NA,NA,NA,NA,NA,1923,2,"22276_2",39,"A",0.232419733653336,-0.847539946384913,-0.110813108619425
"14473",22276,1,2016,8,NA,1,1,1,67,5,4,3,NA,3,4,2,1,7,1,1,7,1,9,2,1,13,8,1,1949,10,11,1,1.5,1,0,2,0,2,NA,NA,2,NA,NA,1949,3,"22276_3",38,"A",-0.691669726608196,3.90306278373935,-0.666661153900445
"14625",22286,1,2016,8,NA,1,1,1,66,5,3,3,NA,3,4,2,1,7,1,1,7,1,9,1,1,13,8,1,1950,10,11,1,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1950,1,"22286_1",40,"A",0.974989369731097,6.33963295743852,0.333333333333333
"14626",22286,2,2016,8,NA,1,2,2,60,4,3,3,NA,3,4,2,1,7,0,0,7,1,9,1,2,13,8,1,1956,10,11,0,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1956,2,"22286_2",41,"A",0.157282659002499,5.82285195924529,0.333332886284758
"117648",224048,1,2016,7,NA,3,1,2,82,5,2,3,NA,3,4,1,1,7,1,1,7,3,9,4,1,10,20,3,1934,10,11,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,1934,1,"224048_1",591,"A",-0.615183459641475,0.0323290446438457,0.196627208893591
"16072",22624,1,2016,15,NA,4,1,1,59,4,2,2,NA,1,0,4,3,2,1,1,1,3,3,1,1,13,15,3,1957,1,3,1,2.5,1,1,1,1,4,NA,80,NA,NA,NA,1957,1,"22624_1",42,"A",-2.76405534413733,1.74288794507546,0.0584890079005437
"16073",22624,2,2016,15,NA,4,2,2,55,4,3,3,NA,3,2,4,3,7,0,0,7,3,9,1,2,13,15,3,1961,10,11,0,2.5,0,0,1,1,4,NA,NA,NA,NA,NA,1961,2,"22624_2",43,"A",-0.914285902503637,-3.89149319334647,-0.629018383707077
"16074",22624,3,2016,15,NA,4,3,2,21,1,4,3,NA,3,6,4,3,7,0,0,7,3,9,2,4,13,15,3,1995,10,11,0,2.5,0,0,1,1,4,NA,NA,NA,NA,NA,1995,6,"22624_6",44,"A",-1.91499991827171,3.44106328935353,0.33327568532482
"16075",22624,4,2016,15,NA,4,3,2,19,1,4,3,NA,3,1,4,3,7,0,0,7,3,9,2,5,13,15,3,1997,10,11,0,2.5,0,0,1,1,4,NA,NA,NA,NA,NA,1997,7,"22624_7",45,"A",0.231317115066648,-0.208643961780762,0.333243048982888
"16194",22657,1,2016,16,NA,5,1,2,65,4,5,2,NA,1,0,4,3,6,1,1,2,3,8,1,1,13,16,3,1951,2,9,1,1.5,1,1,2,1,2,NA,67,NA,NA,NA,1951,1,"22657_1",46,"A",-0.665230641126533,-1.35265358295621,0.329152464657663
"16195",22657,2,2016,16,NA,5,2,1,70,5,4,3,NA,3,4,4,3,7,0,0,7,3,9,1,2,13,16,3,1946,10,11,0,1.5,1,0,2,1,2,NA,NA,2,NA,NA,1946,3,"22657_3",47,"A",-0.0700156734634346,0.598335839097088,-0.343627889142115
"17448",22996,1,2016,1,NA,4,1,1,82,5,4,3,NA,3,4,1,1,7,1,1,7,3,9,1,1,13,1,1,1934,10,11,1,1.5,1,0,2,0,2,NA,NA,2,NA,NA,1934,1,"22996_1",48,"A",-1.48237961108939,1.88992011901732,0.333287159817019
"17449",22996,2,2016,1,NA,4,2,2,74,5,3,3,NA,3,4,1,1,7,0,0,7,3,9,1,2,13,1,1,1942,10,11,0,1.5,1,0,2,0,2,NA,NA,NA,NA,NA,1942,2,"22996_2",49,"A",-2.45237828657721,2.95031657781855,-0.636678955454795
"117925",230029,1,2016,3,NA,1,1,1,73,5,3,3,NA,3,4,1,1,7,1,1,7,1,9,1,1,10,3,1,1943,10,11,1,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1943,1,"230029_1",592,"A",1.05998437406753,-3.714872641211,0.332314545739984
"117926",230029,2,2016,3,NA,1,2,2,70,5,2,3,NA,3,4,1,1,7,0,0,7,1,9,1,2,10,3,1,1946,10,11,0,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1946,2,"230029_2",593,"A",1.82160264249667,-2.59157673020065,0.333227697875589
"117981",230037,1,2016,3,NA,1,1,1,68,5,4,3,NA,3,4,1,1,7,1,1,7,1,9,1,1,10,15,3,1948,10,11,1,1.5,1,0,2,0,2,NA,NA,3,NA,NA,1948,1,"230037_1",594,"A",-0.228526343552023,4.21203026271808,0.126768904399309
"117982",230037,2,2016,3,NA,1,2,2,68,5,5,3,NA,3,4,1,1,7,0,0,7,1,9,1,2,10,3,1,1948,10,11,0,1.5,1,0,2,0,2,NA,NA,3,NA,NA,1948,2,"230037_2",595,"A",-0.748027984689115,3.46478945669818,-0.285545221941782
"18778",23370,1,2016,6,NA,4,1,1,74,5,3,3,NA,3,4,2,1,7,1,1,7,3,9,1,1,13,6,1,1942,10,11,1,1.5,1,0,1,0,2,NA,NA,1,NA,NA,1942,1,"23370_1",50,"A",1.63926520279791,1.29939111459645,-0.651817223664971
"18779",23370,2,2016,6,NA,4,2,2,74,5,3,3,NA,3,2,2,1,7,0,0,7,3,9,1,2,13,6,1,1942,10,11,0,1.5,0,0,1,0,2,NA,NA,NA,NA,NA,1942,2,"23370_2",51,"A",0.560889673570453,-1.66385371367866,-0.628241981523402
"19385",23490,1,2016,5,NA,3,1,2,79,5,4,3,NA,3,4,2,1,7,1,1,7,2,9,2,1,13,5,1,1937,10,11,1,1,1,0,1,0,1,NA,NA,2,NA,NA,1937,2,"23490_2",52,"A",1.05670653973023,5.68617037873072,0.333333332367451
"118357",237003,1,2016,19,NA,3,1,1,68,5,4,3,NA,3,4,5,3,7,1,1,7,2,9,1,1,10,19,3,1948,10,11,0,1.5,1,0,2,0,2,NA,NA,4,NA,NA,1948,1,"237003_1",596,"A",1.17109231607029,5.19738754444202,0.333333278254592
"118358",237003,2,2016,19,NA,3,2,2,72,5,5,3,NA,3,4,5,3,7,0,0,7,2,9,1,2,10,19,3,1944,10,11,1,1.5,1,0,2,0,2,NA,NA,4,NA,NA,1944,2,"237003_2",597,"A",-0.375794282703858,2.37296031893192,-0.327356744177088
"20371",23797,1,2016,15,NA,5,1,1,61,4,3,2,NA,1,0,4,3,6,1,1,1,4,8,1,1,13,15,3,1955,1,8,1,1.5,1,1,1,1,2,NA,67,NA,NA,NA,1955,1,"23797_1",53,"A",-0.928647104902124,-2.32501210167906,-0.488192109983042
"20372",23797,2,2016,15,NA,5,2,2,58,4,2,3,NA,3,2,4,3,7,0,0,7,4,9,1,2,13,15,3,1958,10,11,0,1.5,0,0,1,1,2,NA,NA,NA,NA,NA,1958,2,"23797_2",54,"A",1.08335403159231,1.74049462958189,-0.66023875496548
"20521",23821,1,2016,16,NA,4,1,2,80,5,2,3,NA,3,4,4,3,7,1,1,7,3,9,4,1,13,16,3,1936,10,11,1,1.5,1,0,1,0,2,NA,NA,NA,NA,NA,1936,2,"23821_2",55,"A",0.3355637716923,-3.60779147337498,-0.661092662549047
"20522",23821,2,2016,16,NA,4,3,2,48,3,3,3,NA,3,2,4,3,7,0,0,7,3,9,2,2,13,16,3,1968,10,11,0,1.5,0,0,1,0,2,NA,NA,NA,NA,NA,1968,4,"23821_4",56,"A",0.331949829433264,-3.34768166714556,0.333306723862409
"20590",23823,1,2016,16,NA,4,1,2,79,5,2,3,NA,3,4,4,3,7,1,1,7,3,9,4,1,13,16,3,1937,10,11,0,1.5,1,0,2,1,2,NA,NA,NA,NA,NA,1937,2,"23823_2",57,"A",0.359843098935842,-0.836592685497081,0.310380817729238
"20591",23823,2,2016,16,NA,4,3,2,44,3,4,2,NA,1,0,4,3,5,0,0,2,3,6,2,2,13,16,3,1972,2,6,1,1.5,1,1,2,1,2,NA,NA,NA,NA,NA,1972,3,"23823_3",58,"A",0.68124573509421,2.37208338921661,-0.666619294920662
"22116",24147,1,2016,4,NA,2,1,1,68,5,5,3,NA,3,4,2,1,7,1,1,7,1,9,1,1,13,4,1,1948,10,11,0,1.5,1,0,2,1,2,NA,NA,2,NA,NA,1948,1,"24147_1",59,"A",0.338270160443948,0.530731225975496,-0.666660223922253
"22117",24147,2,2016,4,NA,2,2,2,58,4,4,2,NA,1,0,2,1,6,0,0,2,1,8,1,2,13,4,1,1958,2,9,1,1.5,1,1,2,1,2,NA,NA,NA,NA,NA,1958,2,"24147_2",60,"A",0.671718949069012,-1.38207553268717,0.333048745355848
"22137",24149,1,2016,4,NA,2,1,1,93,5,2,3,NA,3,4,2,1,7,1,1,7,1,9,4,1,13,3,1,1923,10,11,1,1,1,0,1,0,1,NA,NA,8,NA,NA,1923,1,"24149_1",61,"A",-0.602148121417624,-0.674567011794916,-0.22262059316103
"22381",24194,1,2016,8,NA,3,1,1,64,4,2,3,NA,3,4,2,1,7,1,1,7,2,9,1,1,13,8,1,1952,10,11,1,2.5,1,0,4,3,4,NA,NA,1,NA,NA,1952,1,"24194_1",62,"A",-1.37313192810682,4.87408807932729,-0.153924576718039
"22382",24194,2,2016,8,NA,3,2,2,56,4,3,2,NA,1,0,2,1,3,0,0,2,2,4,1,2,13,8,1,1960,2,4,0,2.5,1,1,4,3,4,NA,67,NA,NA,NA,1960,2,"24194_2",63,"A",-0.899396316590515,1.27668264587756,-0.666659496095154
"22383",24194,3,2016,8,NA,3,3,1,32,2,4,2,NA,1,0,2,1,2,0,0,2,2,2,2,3,13,8,1,1984,2,2,0,2.5,1,1,4,3,4,NA,NA,NA,NA,NA,1984,3,"24194_3",64,"A",-1.15115854550207,-1.0717250204476,-0.140169173655346
"22384",24194,4,2016,8,NA,3,3,2,26,1,4,2,NA,1,0,2,1,2,0,0,2,2,2,2,4,13,8,1,1990,2,2,0,2.5,1,1,4,3,4,NA,NA,NA,NA,NA,1990,4,"24194_4",65,"A",0.580912478146775,-1.53021146976345,-0.66575386334886
"118702",243067,1,2016,8,NA,3,1,2,54,4,4,3,NA,3,2,2,1,7,1,1,7,2,9,1,1,10,8,1,1962,10,11,0,2,1,1,3,3,3,NA,NA,NA,NA,NA,1962,1,"243067_1",598,"A",-0.383360232763601,2.79652089312008,-0.112562969057732
"118703",243067,2,2016,8,NA,3,2,1,54,4,3,2,NA,2,0,2,1,3,0,0,6,2,4,1,2,10,8,1,1962,9,4,1,2,1,1,3,3,3,NA,57,NA,NA,NA,1962,2,"243067_2",599,"A",0.166006236514436,-5.00662828340111,-0.666295845495988
"118704",243067,3,2016,8,NA,3,3,2,22,1,4,2,NA,2,0,2,1,3,0,0,6,2,4,2,3,10,8,1,1994,9,4,0,2,1,1,3,3,3,NA,NA,NA,NA,NA,1994,4,"243067_4",600,"A",1.47935121862061,-0.728229674516914,0.201932476884571
"23253",24382,1,2016,13,NA,2,1,2,67,5,2,3,NA,3,2,4,3,7,1,1,7,1,9,4,1,13,13,3,1949,10,11,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,1949,2,"24382_2",66,"A",-0.431513577462477,-2.94461557217923,0.333333333304841
"118755",244013,2,2016,20,NA,1,2,1,70,5,2,3,NA,3,4,5,3,7,0,0,7,1,9,1,2,10,20,3,1946,10,11,0,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1946,1,"244013_1",602,"A",0.732565936574425,3.3832467299937,0.0456312714240147
"118754",244013,1,2016,20,NA,1,1,2,70,5,3,3,NA,3,4,5,3,7,1,1,7,1,9,1,1,10,20,3,1946,10,11,1,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1946,2,"244013_2",601,"A",1.72563582332569,-7.77579156036274,0.333314934887261
"118842",244058,2,2016,20,NA,1,2,1,52,4,2,2,NA,2,0,5,3,2,0,1,6,1,3,1,2,10,20,3,1964,7,3,1,2,1,1,1,1,3,NA,NA,NA,NA,NA,1964,1,"244058_1",604,"A",-0.348116726530457,-2.2995323928744,0.333333333324632
"118841",244058,1,2016,20,NA,1,1,2,52,4,4,3,NA,3,2,5,3,7,1,0,7,1,9,1,1,10,20,3,1964,10,11,0,2,0,0,1,1,3,NA,NA,NA,NA,NA,1964,2,"244058_2",603,"A",0.624830246626113,-2.64489673917065,0.319328032051125
"118843",244058,3,2016,20,NA,1,3,2,18,1,4,3,NA,3,6,5,3,7,0,0,7,1,9,2,3,10,20,3,1998,10,11,0,2,0,0,1,1,3,NA,NA,NA,NA,NA,1998,3,"244058_3",605,"A",0.789000678994701,5.24291729382629,-0.598761534925799
"24316",24616,1,2016,8,NA,4,1,1,77,5,2,3,NA,3,4,2,1,7,1,1,7,3,9,1,1,13,8,1,1939,10,11,1,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1939,1,"24616_1",67,"A",1.17770103597021,2.01959749023381,-0.662396849561195
"24317",24616,2,2016,8,NA,4,2,2,72,5,2,3,NA,3,4,2,1,7,0,0,7,3,9,1,2,13,8,1,1944,10,11,0,1.5,1,0,2,0,2,NA,NA,1,NA,NA,1944,2,"24616_2",68,"A",-1.29233101590078,0.427569318662613,-0.520241489248812
"24868",24760,1,2016,17,NA,4,1,2,96,5,2,3,NA,3,4,4,3,7,1,1,7,3,9,4,1,13,17,3,1920,10,11,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,1920,1,"24760_1",69,"A",-3.40926723160959,-0.534418899702245,0.262466501620838
"24932",24764,2,2016,17,NA,4,2,1,53,4,3,2,NA,1,0,4,3,2,0,1,1,3,2,1,2,13,17,3,1963,1,2,1,2.8,1,1,2,1,5,NA,NA,NA,NA,NA,1963,1,"24764_1",71,"A",-1.01445956572762,-0.437838184250625,0.333333333330188
"24931",24764,1,2016,17,NA,4,1,2,50,3,3,3,NA,3,2,4,3,7,1,0,7,3,9,1,1,13,15,3,1966,10,11,0,2.8,0,0,2,1,5,NA,NA,NA,NA,NA,1966,2,"24764_2",70,"A",1.97299386458979,3.82549697637704,0.333332791700484
"24933",24764,3,2016,17,NA,4,3,2,20,1,4,3,NA,3,6,4,3,7,0,0,7,3,9,2,3,13,16,3,1996,10,11,0,2.8,1,0,2,1,5,NA,NA,NA,NA,NA,1996,3,"24764_3",72,"A",1.21145819020201,-1.90880090566782,0.333333333004358
"24934",24764,4,2016,17,NA,4,3,2,18,1,3,3,NA,3,6,4,3,7,0,0,7,3,9,2,4,13,16,3,1998,10,11,0,2.8,0,0,2,1,5,NA,NA,NA,NA,NA,1998,4,"24764_4",73,"A",-0.470913139992153,1.98970341941594,0.163826120652193
"24935",24764,5,2016,17,NA,4,3,1,9,1,1,3,NA,3,6,4,3,7,0,0,7,3,9,2,5,13,17,3,2007,10,11,0,2.8,0,0,2,1,5,NA,NA,NA,NA,NA,2007,5,"24764_5",74,"A",-0.234709428695072,2.95121433668579,-0.666666665358936
"25168",24809,2,2016,16,NA,5,2,1,86,5,2,3,NA,3,4,4,3,7,0,1,7,3,9,1,2,13,16,3,1930,10,11,1,1.5,1,0,1,0,2,NA,NA,1,NA,NA,1930,1,"24809_1",76,"A",-0.0418462688673982,1.70292047720624,0.313405612502791
"25167",24809,1,2016,16,NA,5,1,2,77,5,2,3,NA,3,2,4,3,7,1,0,7,3,9,1,1,13,16,3,1939,10,11,0,1.5,0,0,1,0,2,NA,NA,NA,NA,NA,1939,2,"24809_2",75,"A",-2.20403044012199,2.67919095402314,-0.666666656828128
"25425",24853,1,2016,11,NA,3,1,1,59,4,3,3,NA,3,4,3,2,7,1,1,7,3,9,1,1,13,16,3,1957,10,11,1,1.5,1,0,2,1,2,NA,NA,2,NA,NA,1957,1,"24853_1",77,"A",1.46376512064069,3.8611567988284,-0.54674680217494
"25426",24853,2,2016,11,NA,3,2,2,54,4,4,2,NA,1,0,3,2,6,0,0,2,3,8,1,2,13,16,3,1962,2,9,0,1.5,1,1,2,1,2,NA,67,NA,NA,NA,1962,2,"24853_2",78,"A",-0.390193272555881,-8.14758909740091,0.333333315282035
"119213",250005,2,2016,19,NA,4,2,1,72,5,4,3,NA,3,4,5,3,7,0,0,7,3,9,1,2,10,15,3,1944,10,11,1,1.5,1,0,2,0,2,NA,NA,NA,NA,NA,1944,1,"250005_1",607,"A",0.608262616726838,1.30865018499442,0.333333333333333
"119212",250005,1,2016,19,NA,4,1,2,67,5,4,3,NA,3,2,5,3,7,1,1,7,3,9,1,1,10,19,3,1949,10,11,0,1.5,1,0,2,0,2,NA,NA,NA,NA,NA,1949,2,"250005_2",606,"A",1.07219071260165,-4.15284405144041,-0.609005995174648
"119257",250010,1,2016,19,NA,4,1,2,70,5,2,3,NA,3,4,5,3,7,1,1,7,3,9,1,1,10,19,3,1946,10,11,1,1.5,1,0,1,0,2,NA,NA,NA,NA,NA,1946,2,"250010_2",608,"A",-1.52571496949504,0.256263074666963,-0.656084747434044
"119258",250010,2,2016,19,NA,4,3,1,36,2,3,3,NA,3,1,5,3,7,0,0,7,3,9,2,2,10,NA,NA,1980,10,11,0,1.5,0,0,1,0,2,2,NA,NA,NA,NA,1980,3,"250010_3",609,"A",0.755611058333577,-0.128885364468126,0.331007781101583
"119303",250039,1,2016,19,NA,4,1,2,65,4,3,3,NA,3,4,5,3,7,1,1,7,3,9,4,1,10,19,3,1951,10,11,1,1,1,0,1,0,1,NA,NA,NA,NA,NA,1951,1,"250039_1",610,"A",-0.364595624400605,-3.59146765752847,0.325366209488659
"26202",25007,1,2016,19,NA,4,1,2,82,5,4,3,NA,3,4,5,3,7,1,1,7,3,9,4,1,13,19,3,1934,10,11,1,1,1,0,1,0,1,NA,NA,2,NA,NA,1934,2,"25007_2",79,"A",-0.294671098634469,-0.689711542015342,0.333333331544545
